Datetime,Title,Subtitle,Tags,Link
2021-09-15,It's a… Women's Women's Women's World!,Kunst weiblicher Kunstschaffender – eine Dauerausstellung,"Vergnügen, It's a… Women's Women's Women's World!",https://www.karldergrosse.ch/programm/kategorien/ausstellungen/its-a-womens-womens-womens-world
2024-02-01,Kurzgeschichten-Wettbewerb: Diesen Tag vergesse ich nie!,,"Labor, Fokus: GENERATIONEN, Kurzgeschichten-Wettbewerb",https://www.karldergrosse.ch/programm/kategorien/festivals/diesen-tag-vergesse-ich-nie
2024-03-26,Generational Novels,,"Vergnügen, Fokus: GENERATIONEN, Ausstellung: Generational Novels",https://www.karldergrosse.ch/programm/kategorien/ausstellungen/generational-novels
2024-04-23,Was wäre wenn – wir 150 Jahre alt werden?​Abgesagt,Podiumsdiskussion zur Langlebigkeit mit KION,"Debatte, Fokus: GENERATIONEN",https://www.karldergrosse.ch/programm/veranstaltung/was-ware-wenn-wir-150-jahre-alt-werden
2024-04-24,"Eine gute Zukunft? Zürich, die Klimastadt!",Input und Diskussion mit den Klima-Grosseltern Zürich,Debatte,https://www.karldergrosse.ch/programm/veranstaltung/eine-gute-zukunft-zurich-die-klimastadt
2024-05-02,Wenn Bäuer*innen streiken,Podium über die Schweizer Bauernbewegung mit Polito,Debatte,https://www.karldergrosse.ch/programm/veranstaltung/wenn-bauerinnen-streiken
2024-05-04,Café Philo: Generationen im Dialog,Philosophischer Austausch mit Dr. Caroline Krüger,"Labor, Fokus: GENERATIONEN",https://www.karldergrosse.ch/programm/veranstaltung/cafe-philo-generationen-im-dialog
2024-05-04,Stadtausweis für alle,Vernetzungstreffen und Austausch zu Urban Citizienship,Labor,https://www.karldergrosse.ch/programm/veranstaltung/stadtausweis-fur-alle
2024-05-04,Endometriose ist nur die Spitze des Eisbergs,Podium zu Gendermedizin mit Zethno,Debatte,https://www.karldergrosse.ch/programm/veranstaltung/endometriose-ist-nur-die-spitze-des-eisbergs
2024-05-07,Mutausbruch!,"Vortrag und Diskussion für Mutige und alle, die es werden möchten",Labor,https://www.karldergrosse.ch/programm/veranstaltung/mutausbruch-2
2024-05-08,Wohncommunity-Tour,Führung durch das Zollhaus mit Monika Saxer,"Vergnügen, Fokus: GENERATIONEN",https://www.karldergrosse.ch/programm/veranstaltung/wohncommunity-tour
2024-05-13,Empathie und Konfliktlösung,Grundlagenkurs mit Empathie Stadt Zürich,Labor,https://www.karldergrosse.ch/programm/veranstaltung/empathie-und-konfliktlosung-3
2024-05-14,Vielfalt entdecken und bewahren,Workshop: Puzzle der Biodiversität,Labor,https://www.karldergrosse.ch/programm/veranstaltung/vielfalt-entdecken-und-bewahren
2024-05-14,Generationen & Wohnen,Podium zum Mehrgenerationen-Wohnen mit Claudia Thiesen,"Debatte, Fokus: GENERATIONEN",https://www.karldergrosse.ch/programm/veranstaltung/generationen-wohnen
2024-05-16,Netzpolitischer Abend zu KI im Journalismus,Diskussion zu Digitalisierung und Gesellschaft,Debatte,https://www.karldergrosse.ch/programm/veranstaltung/netzpolitischer-abend-zu-ki-im-journalismus
2024-05-22,Rund ums Wasser!,Pitch-Night mit dem Verbund Lebensraum Zürich und Tsüri.ch,Debatte,https://www.karldergrosse.ch/programm/veranstaltung/rund-ums-wasser
2024-05-23,InkluVision,,"Vergnügen, Karl*a inklusiv, Festival: InkluVision",https://www.karldergrosse.ch/programm/kategorien/festivals/inkluvision
2024-05-23,Inklusive Medien- und Kommunikationsarbeit,Workshop zu Kommunikation ohne Barrieren,"Labor, Karl*a inklusiv, Festival: InkluVision",https://www.karldergrosse.ch/programm/veranstaltung/inklusive-medien-und-kommunikationsarbeit
2024-05-23,Übergänge gestalten,Vortrag zu Unterstützter Kommunikation in Ausbildung und Beruf,"Labor, Karl*a inklusiv, Festival: InkluVision",https://www.karldergrosse.ch/programm/veranstaltung/ubergange-gestalten
2024-05-23,Menschen mit Behinderungen werden Mitarbeitende in Schulen,Referat zum Projekt écolsiv,"Debatte, Karl*a inklusiv, Festival: InkluVision",https://www.karldergrosse.ch/programm/veranstaltung/menschen-mit-behinderungen-werden-mitarbeitende-in-schulen
